birth_country,gender,nacionality,distance_home_school,age,state_support,responsible_person,education_responsible_person,father_employment_status,father_education_level,mother_employment_status,mother_education_level,educational_track,status
Portugal,F,Portugal,Short,17,No,Mother,Upper Secondary,Unknown,Unknown,Employee,Upper Secondary,General,Dropout
Portugal,F,Portugal,Short,17,No,Mother,Low Secondary,Unknown,Unknown,Employee,Low Secondary,General,Dropout
Portugal,F,Portugal,Moderate,18,No,Mother,Low Secondary,Employee,Low Secondary,Employee,Low Secondary,General,Dropout
Portugal,F,Portugal,Short,17,No,Mother,Low Secondary,Employee,Low Secondary,Employee,Low Secondary,General,Dropout
Portugal,F,Portugal,Short,17,No,Mother,Low Secondary,Employee,Low Secondary,Employee,Low Secondary,General,Dropout
Portugal,F,Portugal,Short,17,No,Mother,Low Secondary,Employee,Master,Employee,Low Secondary,General,Dropout
Portugal,F,Portugal,Moderate,17,No,Mother,Master,Employee,Low Secondary,Business owner,Master,General,Dropout
Portugal,F,Portugal,Moderate,17,No,Mother,Master,Employee,Low Secondary,Employee,Master,General,Dropout
Portugal,F,Portugal,Short,18,No,Mother,Master,Business owner,Master,Employee,Master,General,Dropout
Portugal,F,Portugal,Short,17,No,Mother,Master,Employee,Master,Employee,Master,General,Dropout
Portugal,F,Portugal,Short,17,No,Father,Unknown,Employee,Unknown,Employee,Master,General,Dropout
Portugal,F,Portugal,Short,18,No,Mother,Master,Employee,Upper Secondary,Employee,Master,General,Dropout
Portugal,F,Portugal,Moderate,17,No,Father,Upper Secondary,Employee,Upper Secondary,Employee,Master,General,Dropout
Portugal,F,Portugal,Short,17,No,Mother,Master,Employee,Upper Secondary,Unknown,Master,General,Dropout
Portugal,F,Portugal,Moderate,18,No,Mother,Primary,Employee,Primary,Domestic (no job),Primary,General,Dropout
Portugal,F,Portugal,Short,17,No,Father,Upper Secondary,Employee,Upper Secondary,Unknown,No School,General,Dropout
Portugal,F,Portugal,Short,17,Yes,Mother,Low Secondary,Unknown,Low Secondary,Unemployed,Low Secondary,General,Enrolled
Portugal,F,Portugal,Long,18,Yes,Mother,Master,Employee,Master,Business owner,Master,General,Enrolled
Portugal,F,Portugal,Long,17,Yes,Mother,Master,Employee,Upper Secondary,Business owner,Master,General,Enrolled
Portugal,F,Portugal,Short,17,Yes,Mother,Upper Secondary,Employee,Low Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,F,Portugal,Short,17,Yes,Mother,Upper Secondary,Employee,Upper Secondary,Unemployed,Upper Secondary,Technical,Enrolled
Ukranine,F,Portugal,Short,17,Yes,Mother,Master,Employee,Low Secondary,Unemployed,Master,General,Enrolled
Portugal,F,Portugal,Short,17,No,Mother,Upper Secondary,Employee,Low Secondary,Business owner,Upper Secondary,General,Enrolled
Portugal,F,Portugal,Moderate,17,No,Mother,Upper Secondary,Unknown,Unknown,Business owner,Upper Secondary,General,Enrolled
Portugal,F,Portugal,Short,17,No,Father,Upper Secondary,Business owner,Upper Secondary,Business owner,Upper Secondary,General,Enrolled
Portugal,F,Portugal,Short,17,No,Mother,Upper Secondary,Employee,Master,Domestic (no job),Upper Secondary,General,Enrolled
Portugal,F,Portugal,Short,18,No,Mother,Upper Secondary,Business owner,Low Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,F,Portugal,Short,17,No,Mother,Upper Secondary,Employee,Low Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,F,Portugal,Moderate,17,No,Mother,Upper Secondary,Employee,Low Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,F,Portugal,Short,17,No,Mother,Upper Secondary,Employee,Low Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,F,Portugal,Moderate,18,No,Mother,Upper Secondary,Employee,Low Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,F,Portugal,Long,17,No,Other,Low Secondary,Employee,Low Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,F,Portugal,Short,18,No,Father,Low Secondary,Employee,Low Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,F,Portugal,Moderate,17,No,Mother,Upper Secondary,Employee,Low Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,F,Portugal,Short,17,No,Mother,Upper Secondary,Employee,Low Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,F,Portugal,Long,17,No,Mother,Upper Secondary,Employee,Low Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,F,Portugal,Moderate,17,No,Mother,Upper Secondary,Employee,Low Secondary,Employee,Upper Secondary,Technical,Enrolled
Portugal,F,Portugal,Moderate,18,No,Mother,Upper Secondary,Unknown,Low Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,F,Portugal,Short,17,No,Mother,Upper Secondary,Unknown,Low Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,F,Portugal,Short,18,No,Mother,Upper Secondary,Unknown,Low Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,F,Portugal,Short,18,No,Father,Master,Employee,Master,Employee,Upper Secondary,General,Enrolled
Portugal,F,Portugal,Moderate,17,No,Mother,Upper Secondary,Business owner,Upper Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,F,Portugal,Short,18,No,Mother,Upper Secondary,Employee,Upper Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,F,Portugal,Moderate,17,No,Mother,Upper Secondary,Employee,Upper Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,F,Portugal,Short,17,No,Mother,Upper Secondary,Employee,Upper Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,F,Portugal,Short,17,No,Mother,Upper Secondary,Employee,Upper Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,F,Portugal,Short,17,No,Mother,Upper Secondary,Employee,Upper Secondary,Employee,Upper Secondary,General,Enrolled
Brazil,M,Brazil,Moderate,18,No,Mother,Master,Unknown,Master,Business owner,Master,General,Enrolled
Portugal,F,Portugal,Moderate,17,No,Father,Upper Secondary,Employee,Upper Secondary,Employee,Upper Secondary,General,Enrolled
Brazil,M,Brazil,Short,16,No,Father,Master,Retired,Master,Employee,Master,General,Dropout
Brazil,M,Brazil,Moderate,18,No,Student,Low Secondary,Unknown,Unknown,Unemployed,Unknown,General,Dropout
Cape Verde,M,Cape Verde,Short,19,No,Mother,Low Secondary,Unknown,Unknown,Unknown,Low Secondary,Technical,Enrolled
China,M,China,Short,17,No,Mother,Low Secondary,Unemployed,Low Secondary,Employee,Low Secondary,General,Enrolled
China,M,China,Short,19,No,Student,Low Secondary,Employee,Unknown,Domestic (no job),Unknown,General,Dropout
Brazil,M,Portugal,Short,17,No,Mother,Upper Secondary,Unknown,Unknown,Employee,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Short,17,No,Mother,PhD,Unknown,Low Secondary,Employee,PhD,General,Enrolled
Portugal,M,Portugal,Short,17,No,Mother,PhD,Employee,Upper Secondary,Employee,PhD,General,Enrolled
Portugal,M,Portugal,Short,17,No,Father,Low Secondary,Business owner,Low Secondary,Business owner,Low Secondary,Technical,Enrolled
Portugal,M,Portugal,Short,17,No,Mother,Low Secondary,Unemployed,Low Secondary,Business owner,Low Secondary,General,Enrolled
Portugal,F,Portugal,Moderate,17,No,Mother,Upper Secondary,Employee,Upper Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Short,17,No,Mother,Low Secondary,Unknown,Low Secondary,Domestic (no job),Low Secondary,General,Dropout
Portugal,M,Portugal,Moderate,17,No,Mother,Low Secondary,Unemployed,Upper Secondary,Domestic (no job),Low Secondary,Technical,Enrolled
Portugal,F,Portugal,Short,17,No,Mother,Upper Secondary,Employee,Upper Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,F,Portugal,Long,17,No,Mother,Upper Secondary,Employee,Upper Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,F,Portugal,Short,18,No,Father,Upper Secondary,Employee,Upper Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Low Secondary,Business owner,Low Secondary,Employee,Low Secondary,General,Enrolled
Portugal,F,Portugal,Moderate,17,No,Father,Upper Secondary,Employee,Upper Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,F,Portugal,Short,17,No,Mother,Upper Secondary,Employee,Upper Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,F,Portugal,Long,17,No,Mother,Upper Secondary,Employee,Upper Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,F,Portugal,Moderate,17,No,Mother,Upper Secondary,Employee,Upper Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,F,Portugal,Short,17,No,Mother,Upper Secondary,Unknown,Upper Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,F,Portugal,Short,17,No,Mother,Upper Secondary,Unknown,Upper Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Moderate,18,No,Mother,Low Secondary,Employee,Low Secondary,Employee,Low Secondary,General,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Low Secondary,Employee,Low Secondary,Employee,Low Secondary,General,Enrolled
Portugal,F,Portugal,Moderate,17,No,Mother,Upper Secondary,Unknown,Upper Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Short,17,No,Other,Primary,Employee,Low Secondary,Employee,Low Secondary,Technical,Enrolled
Portugal,M,Portugal,Short,17,No,Mother,Low Secondary,Employee,Low Secondary,Employee,Low Secondary,Technical,Enrolled
Portugal,M,Portugal,Short,18,No,Student,Low Secondary,Employee,Low Secondary,Employee,Low Secondary,Technical,Enrolled
Portugal,M,Portugal,Short,19,No,Mother,Low Secondary,Employee,Low Secondary,Employee,Low Secondary,Technical,Enrolled
Portugal,M,Portugal,Short,17,No,Mother,Low Secondary,Employee,Low Secondary,Employee,Low Secondary,Technical,Enrolled
Portugal,M,Portugal,Short,21,No,Mother,Low Secondary,Employee,Low Secondary,Employee,Low Secondary,Technical,Enrolled
Portugal,M,Portugal,Short,17,No,Mother,Low Secondary,Employee,Low Secondary,Employee,Low Secondary,Technical,Enrolled
Portugal,F,Portugal,Moderate,17,No,Mother,Upper Secondary,Employee,Upper Secondary,Unemployed,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Short,20,No,Mother,Low Secondary,Unknown,Low Secondary,Employee,Low Secondary,Technical,Dropout
Portugal,M,Portugal,Short,18,No,Father,Master,Employee,Master,Employee,Low Secondary,Technical,Enrolled
Portugal,F,Portugal,Short,18,No,Mother,Upper Secondary,Employee,Low Secondary,Unknown,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Short,16,No,Father,Upper Secondary,Business owner,Upper Secondary,Employee,Low Secondary,General,Enrolled
Romania,F,Romania,Moderate,17,No,Father,Master,Business owner,Master,Unknown,Upper Secondary,General,Enrolled
Brazil,F,Brazil,Short,17,No,Father,Master,Employee,Master,Employee,Master,General,Enrolled
Portugal,M,Portugal,Short,17,No,Father,Upper Secondary,Employee,Upper Secondary,Employee,Low Secondary,General,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Low Secondary,Employee,Upper Secondary,Employee,Low Secondary,Technical,Enrolled
Portugal,M,Portugal,Short,18,No,Mother,Low Secondary,Employee,Upper Secondary,Employee,Low Secondary,Technical,Enrolled
Portugal,M,Portugal,Moderate,18,No,Other,Unknown,Unknown,Unknown,Unemployed,Low Secondary,Technical,Enrolled
Portugal,F,Portugal,Short,17,No,Mother,Low Secondary,Employee,Low Secondary,Domestic (no job),Low Secondary,General,Enrolled
Portugal,M,Portugal,Short,17,No,Father,Low Secondary,Unemployed,Low Secondary,Unemployed,Low Secondary,Technical,Enrolled
Portugal,F,Portugal,Short,18,No,Mother,Low Secondary,Retired,Unknown,Employee,Low Secondary,General,Enrolled
Portugal,M,Portugal,Short,17,No,Mother,Low Secondary,Employee,Upper Secondary,Unemployed,Low Secondary,General,Enrolled
Portugal,F,Portugal,Short,19,No,Mother,Low Secondary,Unknown,Unknown,Employee,Low Secondary,General,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Low Secondary,Employee,Upper Secondary,Unknown,Low Secondary,Technical,Enrolled
Portugal,M,Portugal,Moderate,18,No,Other,Upper Secondary,Employee,Upper Secondary,Unknown,Low Secondary,Technical,Enrolled
Portugal,F,Portugal,Moderate,17,No,Mother,Low Secondary,Business owner,Low Secondary,Employee,Low Secondary,General,Enrolled
Portugal,F,Portugal,Short,17,No,Mother,Low Secondary,Employee,Low Secondary,Employee,Low Secondary,General,Enrolled
Portugal,F,Portugal,Short,17,No,Mother,Low Secondary,Employee,Low Secondary,Employee,Low Secondary,General,Enrolled
Portugal,F,Portugal,Short,17,No,Father,Low Secondary,Employee,Low Secondary,Employee,Low Secondary,General,Enrolled
Portugal,F,Portugal,Moderate,17,No,Mother,Low Secondary,Unknown,Low Secondary,Employee,Low Secondary,General,Enrolled
Portugal,M,Portugal,Moderate,17,No,Father,Master,Employee,Master,Business owner,Master,General,Enrolled
Portugal,M,Portugal,Short,17,No,Mother,Master,Employee,Master,Business owner,Master,General,Enrolled
Portugal,F,Portugal,Moderate,17,No,Mother,Low Secondary,Employee,Upper Secondary,Employee,Low Secondary,General,Enrolled
Portugal,M,Portugal,Short,18,No,Mother,Master,Employee,Master,Business owner,Master,Technical,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Master,Employee,Upper Secondary,Business owner,Master,Technical,Enrolled
Portugal,F,Portugal,Short,17,No,Father,Upper Secondary,Employee,Upper Secondary,Employee,Low Secondary,General,Enrolled
Portugal,F,Portugal,Moderate,18,No,Mother,Low Secondary,Business owner,Low Secondary,Unemployed,Low Secondary,General,Enrolled
Portugal,M,Portugal,Short,18,No,Mother,Master,Employee,Unknown,Employee,Master,General,Enrolled
Portugal,F,Portugal,Short,18,No,Mother,Low Secondary,Unknown,Unknown,Unemployed,Low Secondary,Technical,Enrolled
Portugal,F,Portugal,Short,18,No,Father,Unknown,Unknown,Unknown,Unknown,Low Secondary,General,Enrolled
Portugal,M,Portugal,Short,17,No,Mother,Master,Unknown,Unknown,Employee,Master,Technical,Dropout
Portugal,F,Portugal,Short,17,No,Mother,Master,Employee,Low Secondary,Business owner,Master,General,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Master,Employee,Low Secondary,Employee,Master,General,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Master,Employee,Low Secondary,Employee,Master,General,Enrolled
Portugal,F,Portugal,Moderate,17,No,Mother,Master,Employee,Master,Business owner,Master,General,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Master,Employee,Low Secondary,Employee,Master,General,Enrolled
Portugal,F,Portugal,Short,17,No,Mother,Master,Employee,Master,Business owner,Master,General,Enrolled
Portugal,F,Portugal,Moderate,17,No,Mother,Master,Employee,Master,Business owner,Master,General,Enrolled
Portugal,M,Portugal,Short,17,No,Mother,Master,Employee,Low Secondary,Employee,Master,General,Enrolled
Portugal,F,Portugal,Long,17,No,Mother,Master,Employee,Master,Business owner,Master,General,Enrolled
Portugal,M,Portugal,Moderate,18,No,Student,Low Secondary,Employee,Low Secondary,Employee,Master,General,Enrolled
Portugal,F,Portugal,Moderate,17,No,Father,PhD,Employee,PhD,Employee,Master,General,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Master,Employee,Low Secondary,Employee,Master,Technical,Enrolled
Portugal,F,Portugal,Moderate,17,No,Mother,Master,Employee,Unknown,Employee,Master,General,Enrolled
Portugal,F,Portugal,Moderate,17,No,Mother,Master,Employee,Unknown,Employee,Master,General,Enrolled
Portugal,M,Portugal,Short,17,No,Mother,Master,Employee,Master,Employee,Master,General,Enrolled
Portugal,F,Portugal,Short,17,No,Mother,Master,Unknown,Unknown,Employee,Master,General,Enrolled
Portugal,M,Portugal,Short,17,No,Mother,Master,Employee,Master,Employee,Master,General,Dropout
Portugal,M,Portugal,Short,17,No,Father,Master,Employee,Master,Employee,Master,General,Enrolled
Portugal,M,Portugal,Short,17,No,Father,Master,Employee,Master,Employee,Master,General,Enrolled
Portugal,F,Portugal,Moderate,17,No,Mother,Master,Employee,Low Secondary,Employee,Master,General,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Master,Employee,Master,Employee,Master,General,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Master,Employee,Master,Employee,Master,General,Enrolled
Portugal,F,Portugal,Short,17,No,Mother,Master,Employee,Low Secondary,Employee,Master,General,Enrolled
Portugal,F,Portugal,Short,17,No,Mother,Master,Employee,Low Secondary,Employee,Master,General,Enrolled
Portugal,M,Portugal,Short,17,No,Mother,Master,Employee,Master,Employee,Master,General,Enrolled
Portugal,F,Portugal,Short,17,No,Mother,Master,Employee,Low Secondary,Employee,Master,General,Enrolled
Portugal,F,Portugal,Short,18,No,Mother,Master,Employee,Low Secondary,Employee,Master,General,Enrolled
Portugal,F,Portugal,Moderate,17,No,Father,Master,Employee,Master,Employee,Master,General,Enrolled
Portugal,F,Portugal,Short,17,No,Mother,Master,Employee,Master,Employee,Master,General,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Master,Employee,Master,Employee,Master,General,Enrolled
Portugal,F,Portugal,Short,17,No,Mother,Master,Employee,Master,Employee,Master,General,Enrolled
Portugal,F,Portugal,Short,17,No,Mother,Master,Employee,Master,Employee,Master,General,Enrolled
Portugal,F,Portugal,Short,17,No,Mother,Master,Employee,Master,Employee,Master,General,Enrolled
Portugal,M,Portugal,Short,18,No,Mother,Master,Employee,Master,Employee,Master,General,Enrolled
Portugal,F,Portugal,Long,17,No,Father,Master,Employee,Master,Employee,Master,General,Enrolled
Portugal,F,Portugal,Moderate,17,No,Mother,Master,Employee,Master,Employee,Master,General,Enrolled
Portugal,F,Portugal,Moderate,17,No,Mother,Master,Employee,Master,Employee,Master,General,Enrolled
Portugal,M,Portugal,Short,18,No,Father,Master,Employee,Master,Employee,Master,General,Enrolled
Portugal,F,Portugal,Moderate,17,No,Mother,Master,Employee,Master,Employee,Master,General,Enrolled
Portugal,F,Portugal,Moderate,17,No,Mother,Master,Employee,Master,Employee,Master,General,Enrolled
Portugal,M,Portugal,Short,18,No,Mother,Master,Employee,Master,Employee,Master,General,Enrolled
Portugal,F,Portugal,Short,17,No,Mother,Master,Employee,Master,Employee,Master,General,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Master,Business owner,Upper Secondary,Employee,Master,General,Enrolled
Portugal,F,Portugal,Long,17,No,Mother,Master,Employee,Master,Employee,Master,General,Enrolled
Portugal,M,Portugal,Moderate,18,No,Student,Unknown,Business owner,Upper Secondary,Employee,Master,General,Enrolled
Portugal,M,Portugal,Short,17,No,Mother,Master,Business owner,Upper Secondary,Employee,Master,General,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Master,Business owner,Upper Secondary,Employee,Master,Technical,Enrolled
Portugal,M,Portugal,Short,17,No,Mother,Master,Employee,Upper Secondary,Employee,Master,General,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Master,Employee,Upper Secondary,Employee,Master,General,Dropout
Portugal,M,Portugal,Short,18,No,Mother,Master,Employee,Upper Secondary,Employee,Master,General,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Master,Employee,Upper Secondary,Employee,Master,General,Dropout
Portugal,F,Portugal,Long,18,No,Mother,Master,Employee,Master,Employee,Master,General,Enrolled
Portugal,F,Portugal,Short,18,No,Mother,Master,Business owner,Master,Employee,Master,General,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Master,Employee,Upper Secondary,Employee,Master,General,Enrolled
Portugal,M,Portugal,Short,17,No,Mother,Master,Employee,Upper Secondary,Employee,Master,General,Enrolled
Portugal,M,Portugal,Short,18,No,Mother,Master,Employee,Upper Secondary,Employee,Master,General,Enrolled
Portugal,M,Portugal,Short,17,No,Mother,Master,Employee,Upper Secondary,Employee,Master,General,Enrolled
Portugal,M,Portugal,Short,17,No,Mother,Master,Employee,Upper Secondary,Employee,Master,General,Enrolled
Portugal,F,Portugal,Short,17,No,Father,Master,Employee,Master,Employee,Master,General,Enrolled
Portugal,M,Portugal,Moderate,17,No,Father,Upper Secondary,Employee,Upper Secondary,Employee,Master,General,Dropout
Portugal,M,Portugal,Moderate,17,No,Father,Upper Secondary,Employee,Upper Secondary,Employee,Master,General,Dropout
Portugal,M,Portugal,Short,17,No,Father,Upper Secondary,Employee,Upper Secondary,Employee,Master,General,Enrolled
Portugal,M,Portugal,Short,17,No,Mother,Master,Employee,Upper Secondary,Employee,Master,General,Dropout
Portugal,F,Portugal,Short,17,No,Mother,Master,Employee,Master,Employee,Master,General,Enrolled
Portugal,F,Portugal,Moderate,17,No,Mother,Master,Business owner,Upper Secondary,Employee,Master,General,Enrolled
Portugal,M,Portugal,Short,17,No,Mother,Master,Employee,Upper Secondary,Employee,Master,General,Enrolled
Portugal,F,Portugal,Moderate,17,No,Mother,Master,Employee,Upper Secondary,Employee,Master,General,Enrolled
Portugal,F,Portugal,Long,17,No,Mother,Master,Employee,Upper Secondary,Employee,Master,General,Enrolled
Portugal,F,Portugal,Moderate,17,No,Mother,Master,Employee,Upper Secondary,Employee,Master,General,Enrolled
Portugal,F,Portugal,Short,17,No,Mother,Master,Employee,Upper Secondary,Employee,Master,General,Enrolled
Portugal,M,Portugal,Short,19,No,Father,Upper Secondary,Employee,Upper Secondary,Employee,Master,General,Enrolled
Portugal,F,Portugal,Short,17,No,Mother,Master,Employee,Upper Secondary,Employee,Master,General,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Master,Business owner,Low Secondary,Unemployed,Master,Technical,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Master,Employee,Master,Unemployed,Master,General,Enrolled
Portugal,F,Portugal,Moderate,17,No,Father,Upper Secondary,Employee,Upper Secondary,Employee,Master,General,Enrolled
Portugal,F,Portugal,Moderate,17,No,Father,Upper Secondary,Employee,Upper Secondary,Employee,Master,General,Enrolled
Portugal,F,Portugal,Moderate,17,No,Mother,Master,Employee,Upper Secondary,Employee,Master,Technical,Enrolled
Portugal,M,Portugal,Short,17,No,Father,Upper Secondary,Employee,Upper Secondary,Unemployed,Master,General,Enrolled
Portugal,F,Portugal,Short,17,No,Mother,Master,Employee,Master,Unemployed,Master,General,Enrolled
Portugal,F,Portugal,Short,17,No,Mother,Master,Employee,Master,Unemployed,Master,General,Enrolled
Portugal,F,Portugal,Moderate,17,No,Mother,Master,Employee,Upper Secondary,Unemployed,Master,General,Enrolled
Portugal,M,Portugal,Short,17,No,Father,Master,Employee,Master,Employee,Master,General,Dropout
Portugal,F,Portugal,Moderate,17,No,Mother,Master,Employee,Upper Secondary,Business owner,Master,General,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Master,Employee,Master,Employee,Master,General,Enrolled
Portugal,M,Portugal,Short,17,No,Mother,Master,Employee,Master,Employee,Master,Technical,Enrolled
Portugal,M,Portugal,Short,17,No,Mother,Master,Employee,Master,Employee,Master,General,Enrolled
Portugal,F,Portugal,Short,17,No,Mother,Master,Employee,Low Secondary,Employee,Master,General,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Postgraduate,Employee,Master,Employee,Master,Technical,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Postgraduate,Employee,Master,Unemployed,Master,General,Enrolled
Portugal,F,Portugal,Moderate,17,No,Mother,Master,Employee,Master,Employee,Master,General,Enrolled
Portugal,M,Portugal,Short,17,No,Father,Primary,Employee,Primary,Domestic (no job),Primary,Technical,Enrolled
Portugal,M,Portugal,Moderate,17,No,Father,Low Secondary,Employee,Low Secondary,Employee,Primary,Technical,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Primary,Unemployed,Low Secondary,Unemployed,Primary,General,Enrolled
Portugal,M,Portugal,Moderate,17,No,Father,Master,Employee,Master,Unknown,No School,General,Enrolled
Portugal,F,Portugal,Short,17,No,Father,Master,Employee,Master,Employee,Master,General,Enrolled
Portugal,F,Portugal,Short,17,No,Mother,Unknown,Employee,Unknown,Business owner,Unknown,General,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Unknown,Employee,Master,Domestic (no job),Unknown,General,Enrolled
Portugal,F,Portugal,Moderate,18,No,Mother,Unknown,Unknown,Unknown,Employee,Unknown,General,Enrolled
Portugal,F,Portugal,Moderate,17,No,Mother,Unknown,Business owner,Low Secondary,Employee,Unknown,General,Enrolled
Portugal,F,Portugal,Short,17,No,Mother,Unknown,Employee,Low Secondary,Employee,Unknown,General,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Unknown,Employee,Upper Secondary,Employee,Unknown,General,Enrolled
